,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,1939,,,,19.3,16.7,13.3,12.0,13.2,15.9,18.4,20.7,23.6,
,1940,26.0,25.2,29.2,19.7,16.0,14.0,13.8,16.0,18.2,23.2,20.8,26.0,20.7
,1941,23.2,25.7,22.0,21.4,16.7,13.6,13.1,14.6,16.4,17.5,22.3,25.1,19.3
,1942,27.2,26.0,24.9,19.4,16.1,14.4,13.5,15.0,18.0,20.9,22.1,25.8,20.3
,1943,27.9,25.4,24.7,19.1,16.3,13.1,12.7,13.6,16.0,18.1,20.7,23.2,19.2
,1944,27.2,25.6,24.6,17.6,14.8,12.7,12.7,13.9,18.5,20.5,22.5,24.7,19.6
,1945,25.0,23.3,21.2,19.0,16.1,14.4,11.7,14.5,16.3,18.9,23.0,25.3,19.1
,1946,26.7,24.0,21.2,17.4,16.1,11.9,13.4,13.9,14.6,17.2,21.8,24.4,18.5
,1947,27.2,28.7,23.9,19.9,19.0,14.2,12.8,13.3,16.8,18.0,19.7,23.3,19.7
,1948,24.1,26.4,21.6,19.0,14.9,13.2,12.0,15.5,18.1,17.9,20.8,25.0,19.0
,1949,24.6,22.7,20.7,17.6,14.8,11.2,13.0,14.6,16.5,18.8,19.9,21.7,18.0
,1950,25.0,23.5,22.3,19.5,15.6,12.0,14.0,15.1,18.3,19.0,21.7,26.7,19.4
,1951,29.7,26.8,25.2,17.0,15.5,13.9,13.0,12.5,16.6,18.7,21.4,23.8,19.5
,1952,25.9,23.7,24.4,18.0,15.0,13.6,12.2,13.5,16.4,17.8,19.7,23.1,18.6
,1953,24.9,25.2,25.4,21.0,16.5,13.0,13.2,13.6,16.1,18.4,20.5,24.5,19.4
,1954,27.1,22.5,23.5,21.0,16.1,13.3,12.7,14.3,16.5,19.0,20.3,24.6,19.2
,1955,26.8,25.3,22.5,20.3,15.2,13.1,12.4,14.4,16.8,18.8,20.3,22.7,19.0
,1956,23.9,27.9,24.8,19.8,15.2,12.6,12.9,13.3,15.9,16.7,18.5,23.1,18.7
,1957,25.5,25.5,23.0,20.2,16.4,17.0,12.4,14.7,16.4,17.8,21.7,23.8,19.5
,1958,23.1,25.3,23.2,20.9,17.0,13.0,12.1,13.5,15.2,17.2,21.3,21.0,18.6
,1959,29.2,25.3,22.7,21.2,16.6,13.9,12.8,14.8,15.6,18.3,23.4,23.4,19.8
,1960,28.4,24.4,24.6,19.1,13.9,12.7,12.5,12.8,15.3,19.2,18.9,26.2,19.0
,1961,29.3,26.7,23.6,20.9,16.3,14.1,12.9,14.4,18.0,21.9,23.3,26.0,20.6
,1962,26.5,25.1,25.3,21.3,15.1,14.8,13.9,13.6,16.4,17.0,22.0,24.1,19.6
,1963,25.9,23.9,23.1,19.5,14.8,13.5,11.8,14.2,16.5,20.7,21.4,24.5,19.1
,1964,25.8,23.6,23.6,18.9,15.8,13.5,12.3,14.1,16.0,17.2,21.1,20.8,18.6
,1965,23.9,25.9,24.2,17.6,16.3,13.9,12.2,14.6,17.6,20.9,20.8,25.2,19.4
,1966,26.6,23.6,23.9,19.7,16.0,12.8,12.1,13.9,16.2,18.1,22.2,22.9,19.0
,1967,23.7,27.2,23.9,21.5,17.5,14.3,12.8,13.2,15.9,20.5,23.0,23.0,19.7
,1968,28.1,29.2,25.5,22.3,14.4,12.3,11.4,13.4,15.7,19.0,21.4,23.3,19.7
,1969,28.4,26.0,22.7,19.7,15.2,12.9,14.2,14.5,13.5,18.7,21.0,22.9,19.1
,1970,23.8,25.7,22.7,20.3,14.5,13.6,13.2,13.5,14.6,18.7,21.9,24.4,18.9
,1971,26.1,26.7,25.3,21.6,16.0,14.0,,14.0,16.3,17.9,19.6,24.7,
,1972,24.7,27.0,22.7,20.4,18.0,14.0,13.7,,,,,,
,2003,25.2,25.9,23.9,20.5,18.1,14.9,13.9,13.9,16.6,16.8,22.8,27.4,20.0
,2004,24.7,26.1,23.7,21.0,16.4,14.4,13.6,15.7,16.3,20.6,21.7,24.3,19.9
,2005,27.0,23.5,23.6,23.7,18.1,15.7,14.4,15.3,17.5,21.0,24.4,28.0,21.0
,2006,27.9,25.2,26.1,18.8,15.6,13.3,13.6,15.8,18.8,21.4,22.7,25.3,20.4
,2007,28.3,29.3,25.5,22.4,19.0,13.2,12.8,16.3,18.5,21.2,24.3,26.7,21.5
,2008,28.0,24.5,27.2,20.6,16.8,15.2,13.4,13.7,19.0,22.0,22.8,23.1,20.5
,2009,28.7,27.8,24.1,20.5,17.2,14.7,14.3,16.2,18.1,19.5,26.8,25.3,21.1
,2010,27.2,28.0,25.2,22.5,17.5,13.7,13.5,13.5,15.4,19.6,22.0,24.4,20.2
,2011,26.1,24.4,22.6,20.3,15.2,14.7,13.7,16.4,18.7,19.9,23.6,24.3,20.0
,2012,27.1,26.8,22.7,21.4,16.0,13.7,13.8,14.3,17.9,20.5,23.3,25.9,20.3
,2013,27.5,28.8,27.3,20.8,17.7,14.4,14.9,15.6,19.2,19.0,21.1,24.9,20.9
,2014,28.7,28.7,25.5,20.4,18.5,15.0,13.9,15.1,18.3,22.2,23.8,25.0,21.3
,2015,27.0,27.9,23.8,19.5,17.0,14.1,13.0,13.8,17.2,25.1,23.6,28.9,20.9
,2016,27.1,,,,,,,,,,,,
